BEHD @ YYE. Sim. done on 2023-10-23   21h31
### Sim. w/ κ =    0.900 ; and ∆_0 =  2.00; T =    2.98E+03
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
   14.69466     1.4877E+00     5.5111E-01    -3.7008E-02     2.4669E-02     0.0000E+00     2.2186-314    -2.8783E-03
   14.80271     1.4840E+00     5.5315E-01    -3.3793E-02     3.1972E-02     0.0000E+00     2.2186-314     2.2595E-04
   14.91076     1.4814E+00     5.5461E-01    -2.4088E-02     3.7177E-02     0.0000E+00     2.2186-314     3.6074E-03
   15.01881     1.4805E+00     5.5512E-01    -8.3840E-03     3.8989E-02     0.0000E+00     2.2186-314    -2.1080E-03
   15.12686     1.4801E+00     5.5535E-01    -3.8587E-03     3.9823E-02     0.0000E+00     2.2186-314    -5.3657E-03
   15.23491     1.4795E+00     5.5568E-01    -5.3317E-03     4.0975E-02     0.0000E+00     2.2186-314     6.7982E-04
   15.34296     1.4800E+00     5.5542E-01     4.1405E-03     4.0080E-02     0.0000E+00     2.2186-314     7.5999E-03
   15.45100     1.4826E+00     5.5394E-01     2.4541E-02     3.4777E-02     0.0000E+00     2.2186-314    -1.9400E-03
   15.55905     1.4853E+00     5.5242E-01     2.5039E-02     2.9366E-02     0.0000E+00     2.2186-314    -2.7902E-03
   15.66710     1.4878E+00     5.5104E-01     2.3003E-02     2.4395E-02     0.0000E+00     2.2186-314    -5.8345E-03
   15.77515     1.4894E+00     5.5014E-01     1.5031E-02     2.1147E-02     0.0000E+00     2.2186-314     1.1266E-03
   15.88320     1.4915E+00     5.4898E-01     1.9311E-02     1.6974E-02     0.0000E+00     2.2186-314     3.1557E-03
   15.99125     1.4943E+00     5.4745E-01     2.5828E-02     1.1393E-02     0.0000E+00     2.2186-314    -1.5690E-04
   16.09930     1.4970E+00     5.4597E-01     2.4943E-02     6.0025E-03     0.0000E+00     2.2186-314     3.2037E-03
   16.20735     1.5001E+00     5.4427E-01     2.8882E-02    -2.3881E-04     0.0000E+00     2.2186-314    -5.6532E-03
   16.31540     1.5019E+00     5.4331E-01     1.6285E-02    -3.7581E-03     0.0000E+00     2.2186-314     4.8676E-03
   16.42345     1.5043E+00     5.4201E-01     2.2139E-02    -8.5423E-03     0.0000E+00     2.2186-314     2.7344E-04
   16.53149     1.5063E+00     5.4092E-01     1.8791E-02    -1.2603E-02     0.0000E+00     2.2186-314    -6.5225E-03
   16.63954     1.5067E+00     5.4070E-01     3.6995E-03    -1.3402E-02     0.0000E+00     2.2186-314    -5.1814E-03
   16.74759     1.5059E+00     5.4116E-01    -7.7635E-03    -1.1725E-02     0.0000E+00     2.2186-314    -9.8919E-04
   16.85564     1.5047E+00     5.4179E-01    -1.0804E-02    -9.3901E-03     0.0000E+00     2.2186-314     3.4975E-03
   16.96369     1.5041E+00     5.4211E-01    -5.6096E-03    -8.1779E-03     0.0000E+00     2.2186-314     3.8227E-03
   17.07174     1.5041E+00     5.4212E-01    -1.4302E-04    -8.1469E-03     0.0000E+00     2.2186-314    -3.4963E-03
   17.17979     1.5033E+00     5.4256E-01    -7.4924E-03    -6.5279E-03     0.0000E+00     2.2186-314     5.2823E-03
   17.28784     1.5034E+00     5.4251E-01     9.1725E-04    -6.7261E-03     0.0000E+00     2.2186-314     5.2332E-03
   17.39589     1.5043E+00     5.4202E-01     8.3860E-03    -8.5383E-03     0.0000E+00     2.2186-314     4.6888E-03
   17.50394     1.5058E+00     5.4121E-01     1.3858E-02    -1.1533E-02     0.0000E+00     2.2186-314     1.9399E-03
   17.61198     1.5072E+00     5.4041E-01     1.3622E-02    -1.4477E-02     0.0000E+00     2.2186-314     3.6258E-03
   17.72003     1.5089E+00     5.3950E-01     1.5697E-02    -1.7869E-02     0.0000E+00     2.2186-314    -9.0821E-03
   17.82808     1.5085E+00     5.3975E-01    -4.2253E-03    -1.6956E-02     0.0000E+00     2.2186-314    -2.2535E-04
   17.93613     1.5077E+00     5.4017E-01    -7.2623E-03    -1.5386E-02     0.0000E+00     2.2186-314    -1.3254E-03
   18.04418     1.5064E+00     5.4084E-01    -1.1565E-02    -1.2887E-02     0.0000E+00     2.2186-314     1.0404E-02
